moon n.月球，月亮；卫星# 
moral a.道德的；合乎道德的# 
more a.更多的ad.更# 
moreover ad.再者，加之，此外# 
morning n.早晨，上午# 
mortal a.终有一死的；致死的# 
mosquito n.蚊子# 
most a.最多的ad.最，很# 
mostly ad.主要的，大部分# 
mother n.母亲，妈妈# 
motion n.运动；手势；提议# 
motivate vt.促动；激励，激发# 
motive n.动机，目的# 
motor n.发动机；机动车# 
mould n.模子，模型vt.浇铸# 
mount vt.登上，爬上n.…山# 
mountain n.山，山岳；山脉# 
mourn vi.哀痛，哀悼# 
mouse n.鼠，耗子# 
mouth n.嘴，口，口腔# 
mouthful n.满口，一口，少量# 
move vt.移动；感动n.动# 
movement n.动作，活动；移动# 
movie n.电影；电影院# 
much ad.非常，很a.许多的# 
mud n.软泥，泥浆# 
muddy a.多泥的，泥泞的# 
mug n.大杯# 
multiple a.复合的；并联的# 
multiply vt.使增加；乘# 
murder n.&vi.谋杀，凶杀# 
murderer n.杀人犯，凶手# 
muscle n.肌肉，肌；体力# 
museum n.博物馆；展览馆# 
mushroom n.蘑菇，菌类植物# 
music n.音乐，乐曲，乐谱# 
musical a.音乐的；和谐的# 
musician n.音乐家；作曲家# 
must v.aux.必须；必然要# 
mute a.缄默的n.哑巴# 
mutter vi.轻声低语；抱怨# 
mutton n.羊肉# 
mutual a.相互的；共同的# 
my pron.我的# 
myself pron.我自己；我亲自# 
mysterious a.神秘的；难以理解的# 
mystery n.神秘；神秘的事物#
@
